C,classifier_name,classifier_params,feature_range,fill_value,fit_time,fold,imputer_name,imputer_params,penalty,predict_time,roc_auc,scaler_name,scaler_params,strategy,criterion,n_estimators
5.0,LogisticRegression,"penalty=l2, C=5","(2, 3)",0.0,0.017676830291748047,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.010058879852294922,0.7411024090413403,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(2, 3)",0.0,0.01689767837524414,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.010174751281738281,0.7864635364635364,MinMaxScaler,"feature_range=(2, 3)",constant,,
,RandomForestClassifier,"n_estimators=10, criterion=gini","(2, 3)",0.0,0.03294491767883301,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.015002012252807617,0.7590462972142362,MinMaxScaler,"feature_range=(2, 3)",constant,gini,10.0
,RandomForestClassifier,"n_estimators=10, criterion=gini","(2, 3)",0.0,0.04126286506652832,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.011196136474609375,0.6827104193516408,MinMaxScaler,"feature_range=(2, 3)",constant,gini,10.0
,RandomForestClassifier,"n_estimators=10, criterion=gini","(2, 3)",0.0,0.033052921295166016,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.01281595230102539,0.7816683316683316,MinMaxScaler,"feature_range=(2, 3)",constant,gini,10.0
,RandomForestClassifier,"n_estimators=10, criterion=entropy","(2, 3)",0.0,0.031829833984375,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.010532855987548828,0.7659363537226132,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,10.0
,RandomForestClassifier,"n_estimators=10, criterion=entropy","(2, 3)",0.0,0.034668684005737305,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.013007164001464844,0.7105680578963022,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,10.0
,RandomForestClassifier,"n_estimators=10, criterion=entropy","(2, 3)",0.0,0.04735684394836426,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.01935601234436035,0.7554445554445555,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,10.0
,RandomForestClassifier,"n_estimators=30, criterion=gini","(2, 3)",0.0,0.0923910140991211,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.014555215835571289,0.7510657281649646,MinMaxScaler,"feature_range=(2, 3)",constant,gini,30.0
,RandomForestClassifier,"n_estimators=30, criterion=gini","(2, 3)",0.0,0.09363389015197754,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.02069997787475586,0.7189947457123029,MinMaxScaler,"feature_range=(2, 3)",constant,gini,30.0
,RandomForestClassifier,"n_estimators=30, criterion=gini","(2, 3)",0.0,0.08696222305297852,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.018292903900146484,0.7511488511488511,MinMaxScaler,"feature_range=(2, 3)",constant,gini,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(2, 3)",0.0,0.09648799896240234,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.01723504066467285,0.7625161098443541,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(2, 3)",0.0,0.0883340835571289,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.017496824264526367,0.6849905819371468,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(2, 3)",0.0,0.06997108459472656,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.012672901153564453,0.7754245754245754,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,30.0
0.01,LogisticRegression,"penalty=l1, C=0.01","(0, 1)",-1.0,0.015000104904174805,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.008917093276977539,0.5015366313076237,MinMaxScaler,"feature_range=(0, 1)",constant,,
0.01,LogisticRegression,"penalty=l1, C=0.01","(0, 1)",-1.0,0.013986825942993164,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.008945226669311523,0.5,MinMaxScaler,"feature_range=(0, 1)",constant,,
0.01,LogisticRegression,"penalty=l1, C=0.01","(0, 1)",-1.0,0.014200925827026367,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.00912618637084961,0.5079420579420578,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(0, 1)",-1.0,0.018564224243164062,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.012994050979614258,0.7884405670665213,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(0, 1)",-1.0,0.022968053817749023,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.009186983108520508,0.743779121641717,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(0, 1)",-1.0,0.016981840133666992,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.009083032608032227,0.7761238761238761,MinMaxScaler,"feature_range=(0, 1)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(0, 1)",-1.0,0.014381885528564453,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.00896000862121582,0.538961038961039,MinMaxScaler,"feature_range=(0, 1)",constant,,
